species,strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country
C. elegans,ECA1293,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1426,S-09953,19.720489,-155.947719,Wild forest,Leaf litter,NA,19.8,20.5,68.5,91.4,https://web.fulcrumapp.com/photos/view?photos=d8bc8810-bccc-45d3-a41a-e4e94370952c,gaotian52@gmail.com,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1294,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1426,S-09955,19.720489,-155.947719,Wild forest,Leaf litter,NA,19.8,20.5,68.5,91.4,https://web.fulcrumapp.com/photos/view?photos=d8bc8810-bccc-45d3-a41a-e4e94370952c,gaotian52@gmail.com,stefanzdraljevic2018@u.northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1295,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4521,S-09965,20.038475,-155.438331,Wild forest,Leaf litter,NA,20.5,24,59.5,78.7,https://web.fulcrumapp.com/photos/view?photos=6e0f0469-7c95-45ee-bb6d-0d96a6eb26f5,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1296,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4521,S-09978,20.038475,-155.438331,Wild forest,Leaf litter,NA,20.5,24,59.5,78.7,https://web.fulcrumapp.com/photos/view?photos=6e0f0469-7c95-45ee-bb6d-0d96a6eb26f5,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1297,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4521,S-09979,20.038475,-155.438331,Wild forest,Leaf litter,NA,20.5,24,59.5,78.7,https://web.fulcrumapp.com/photos/view?photos=6e0f0469-7c95-45ee-bb6d-0d96a6eb26f5,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. elegans,ECA1298,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4521,S-09980,20.038475,-155.438331,Wild forest,Leaf litter,NA,20.5,24,59.5,78.7,https://web.fulcrumapp.com/photos/view?photos=6e0f0469-7c95-45ee-bb6d-0d96a6eb26f5,tcrombie@northwestern.edu,tcrombie@northwestern.edu,11/16/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1299,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1436,S-07814,21.341864,-157.809542,Wild forest,Fruit,NA,21.9,24,NA,87.3,https://web.fulcrumapp.com/photos/view?photos=4f71a61c-66a6-4661-908d-e81180291ab1,gaotian52@gmail.com,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1300,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1446,S-07841,21.342017,-157.809561,Wild forest,Fruit,NA,22.2,24,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=227dc727-8884-40de-8d4e-a8a8ffb17851,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1301,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1446,S-07842,21.342017,-157.809561,Wild forest,Fruit,NA,22.2,24,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=227dc727-8884-40de-8d4e-a8a8ffb17851,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1302,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1446,S-07844,21.342017,-157.809561,Wild forest,Fruit,NA,22.2,24,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=227dc727-8884-40de-8d4e-a8a8ffb17851,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1303,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1446,S-07845,21.342017,-157.809561,Wild forest,Fruit,NA,22.2,24,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=227dc727-8884-40de-8d4e-a8a8ffb17851,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1304,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1446,S-07846,21.342017,-157.809561,Wild forest,Fruit,NA,22.2,24,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=227dc727-8884-40de-8d4e-a8a8ffb17851,nicoleroberto2018@u.northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1305,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3669,S-07881,21.340908,-157.822025,Wild forest,Fruit,NA,22.3,23.3,NA,94.8,https://web.fulcrumapp.com/photos/view?photos=0470e3d2-7eac-42ca-a91a-4fb55ad4d419,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1306,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3673,S-08029,21.342931,-157.823853,Wild forest,Flower,NA,23.2,24,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=19feeae8-8668-471f-82df-a898e34d1b7c,gaotian52@gmail.com,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1307,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-1436,S-08031,21.341864,-157.809542,Wild forest,Fruit,NA,21.9,24,NA,87.3,https://web.fulcrumapp.com/photos/view?photos=4f71a61c-66a6-4661-908d-e81180291ab1,gaotian52@gmail.com,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1308,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3673,S-08033,21.342931,-157.823853,Wild forest,Flower,NA,23.2,24,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=19feeae8-8668-471f-82df-a898e34d1b7c,gaotian52@gmail.com,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1309,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3673,S-08034,21.342931,-157.823853,Wild forest,Flower,NA,23.2,24,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=19feeae8-8668-471f-82df-a898e34d1b7c,gaotian52@gmail.com,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1310,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-3673,S-08036,21.342931,-157.823853,Wild forest,Flower,NA,23.2,24,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=19feeae8-8668-471f-82df-a898e34d1b7c,gaotian52@gmail.com,tcrombie@northwestern.edu,11/8/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1311,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4442,S-08559,20.040464,-155.441103,Wild forest,Leaf litter,NA,21.4,23.3,63,85.9,https://web.fulcrumapp.com/photos/view?photos=762ccbe6-a0c4-47d4-b15c-9c7742478b94,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1312,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4442,S-08569,20.040464,-155.441103,Wild forest,Leaf litter,NA,21.4,23.3,63,85.9,https://web.fulcrumapp.com/photos/view?photos=762ccbe6-a0c4-47d4-b15c-9c7742478b94,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/19/18,NA,NA,Hawaii,United States
C. tropicalis,ECA1313,NA,NA,NA,NA,NA,NA,ECA,hawaii_2018,C-4442,S-08578,20.040464,-155.441103,Wild forest,Leaf litter,NA,21.4,23.3,63,85.9,https://web.fulcrumapp.com/photos/view?photos=762ccbe6-a0c4-47d4-b15c-9c7742478b94,robyn.tanny@northwestern.edu,tcrombie@northwestern.edu,11/19/18,NA,NA,Hawaii,United States
